Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,113.459999,113.769997,108.110001,108.839996,106.953400,129927100
2016-11-07,110.080002,111.720001,105.830002,108.430000,107.097557,207019500
2016-11-14,107.709999,110.540001,104.080002,110.059998,108.707527,198341400
2016-11-21,110.120003,112.419998,110.010002,111.790001,110.416275,94132400
2016-11-28,111.430000,112.470001,108.849998,109.900002,108.549500,155500000
2016-12-05,110.000000,114.699997,108.250000,113.949997,112.549728,151989600
2016-12-12,113.290001,116.730003,112.489998,115.970001,114.544907,195015600
2016-12-19,115.800003,117.500000,115.589996,116.519997,115.088142,113254700
2016-12-26,116.519997,118.019997,115.430000,115.820000,114.396751,84828600
2017-01-02,115.800003,118.160004,114.760002,117.910004,116.461075,103845500
2017-01-09,117.949997,119.930000,117.940002,119.040001,117.577179,138810700
2017-01-16,118.339996,120.500000,118.220001,120.000000,118.525383,116348000
2017-01-23,120.000000,122.440002,119.500000,121.949997,120.451416,124539300
2017-01-30,120.930000,130.490005,120.620003,129.080002,127.493805,249781200
2017-02-06,129.130005,132.940002,128.899994,132.119995,130.496445,136449200
2017-02-13,133.080002,136.270004,132.750000,135.720001,134.633408,136667500
2017-02-20,136.229996,137.479996,135.279999,136.660004,135.565887,87908900
2017-02-27,137.139999,140.279999,136.279999,139.779999,138.660889,127474000
2017-03-06,139.369995,139.979996,137.050003,139.139999,138.026016,99672200
2017-03-13,138.850006,141.020004,138.820007,139.990005,138.869217,121539600
2017-03-20,140.399994,142.800003,139.729996,140.639999,139.514008,129674000
2017-03-27,139.389999,144.500000,138.619995,143.660004,142.509842,127008900
2017-04-03,143.710007,145.460007,143.050003,143.339996,142.192398,105416200
2017-04-10,143.600006,143.880005,140.059998,141.050003,139.920731,87485700
2017-04-17,141.479996,142.919998,140.449997,142.270004,141.130966,89248500
2017-04-24,143.500000,144.899994,143.179993,143.649994,142.499893,91153700
2017-05-01,145.100006,148.979996,144.270004,148.960007,147.767410,175351700
2017-05-08,149.029999,156.419998,149.029999,156.100006,154.850250,173470600
2017-05-15,156.009995,156.649994,149.710007,153.059998,152.461288,157354900
2017-05-22,154.000000,154.899994,152.669998,153.610001,153.009140,103000000
2017-05-29,153.419998,155.449997,152.220001,155.449997,154.841934,88752900
2017-06-05,154.339996,155.979996,146.020004,148.979996,148.397247,159159700
2017-06-12,145.740005,147.500000,142.199997,142.270004,141.713501,220530400
2017-06-19,143.660004,147.160004,143.660004,146.279999,145.707809,133253000
2017-06-26,147.169998,148.279999,142.279999,144.020004,143.456650,127060200
2017-07-03,144.880005,145.300003,142.410004,144.179993,143.616013,79158400
2017-07-10,144.110001,149.330002,143.369995,149.039993,148.457001,111088400
2017-07-17,148.820007,151.740005,148.570007,150.270004,149.682205,106081600
2017-07-24,150.580002,153.990005,147.300003,149.500000,148.915207,105818100
2017-07-31,149.899994,159.750000,148.130005,156.389999,155.778259,172808500
2017-08-07,157.059998,161.830002,154.630005,157.479996,156.863998,151269100
2017-08-14,159.320007,162.509995,156.720001,157.500000,157.500000,134628500
2017-08-21,157.500000,160.740005,155.110001,159.860001,159.860001,112671200
2017-08-28,160.139999,164.940002,159.929993,164.050003,164.050003,126128700
2017-09-04,163.750000,164.250000,158.529999,158.630005,158.630005,101660200
2017-09-11,160.500000,163.960007,157.910004,159.880005,159.880005,220582600
2017-09-18,160.110001,160.500000,150.559998,151.889999,151.889999,186188500
2017-09-25,149.990005,154.720001,149.160004,154.119995,154.119995,154856800
2017-10-02,154.259995,155.490005,152.460007,155.300003,155.300003,93784300
2017-10-09,155.809998,158.000000,155.100006,156.990005,156.990005,81304800
2017-10-16,157.899994,160.869995,155.020004,156.250000,156.250000,126051300
2017-10-23,156.889999,163.600006,155.270004,163.050003,163.050003,122403300
2017-10-30,163.889999,169.649994,163.720001,169.039993,169.039993,80354900
2017-10-31,167.899994,169.649902,166.940002,169.039993,169.039993,36046828
